,rank_year,ranks,title,author,no_of_reviews,ratings,price,cover_type,genre
327,2012,35.0,"The Blood Sugar Solution: The UltraHealthy Program for Losing Weight, Preventing Disease, and Feeling Great Now!",Mark Hyman M.D.,2489.0,4.3,13.95,Hardcover,Non Fiction
328,2012,36.0,"Goodnight, Goodnight Construction Site (Hardcover Books for Toddlers, Preschool Books for Kids)",Sherri Duskey Rinker,20089.0,4.9,14.48,Hardcover,Fiction
329,2012,37.0,The Immortal Life of Henrietta Lacks,Rebecca Skloot,16936.0,4.7,12.1,Paperback,Non Fiction
330,2012,38.0,The Fault in Our Stars,John Green,62087.0,4.7,11.06,Hardcover,Fiction
331,2012,39.0,"The Serpent's Shadow (The Kane Chronicles, Book 3)",Rick Riordan,4883.0,4.8,12.58,Hardcover,Fiction
332,2012,40.0,One Thousand Gifts: A Dare to Live Fully Right Where You Are,Ann Voskamp,4514.0,4.6,17.12,Hardcover,Non Fiction
333,2012,41.0,Wild: From Lost to Found on the Pacific Crest Trail,Cheryl Strayed,23549.0,4.5,18.24,Hardcover,Non Fiction
334,2012,42.0,Winter of the World: Book Two of the Century Trilogy,Ken Follett,18184.0,4.6,13.98,Hardcover,Fiction
335,2012,43.0,The Pioneer Woman Cooks: Food from My Frontier,Ree Drummond,4667.0,4.8,13.32,Hardcover,Non Fiction
336,2012,44.0,The Lego Ideas Book: Unlock Your Imagination,Daniel Lipkowitz,9887.0,4.5,12.8,Hardcover,Non Fiction
337,2012,45.0,Heaven is for Real: A Little Boy's Astounding Story of His Trip to Heaven and Back,Todd Burpo,17368.0,4.7,10.24,Paperback,Non Fiction
338,2012,46.0,"Jesus Calling, Padded Hardcover, with Scripture references",Sarah Young,31196.0,4.9,7.53,Hardcover,Non Fiction
339,2012,47.0,"Eat to Live: The Amazing Nutrient-Rich Program for Fast and Sustained Weight Loss, Revised Edition",Joel Fuhrman MD,9950.0,4.5,12.99,Paperback,Non Fiction
340,2012,48.0,Thomas Jefferson: The Art of Power,Jon Meacham,2922.0,4.6,17.65,Hardcover,Non Fiction
341,2012,49.0,Good to Great: Why Some Companies Make the Leap and Others Don't,Jim Collins,5803.0,4.5,16.5,Hardcover,Non Fiction
342,2012,50.0,The Amateur,Edward Klein,2707.0,4.5,9.6,Hardcover,Non Fiction
343,2012,51.0,The Smitten Kitchen Cookbook: Recipes and Wisdom from an Obsessive Home Cook,Deb Perelman,1834.0,4.7,17.14,Hardcover,Non Fiction
344,2012,52.0,What to Expect When You're Expecting,Heidi Murkoff,29389.0,4.8,18.0,Paperback,Non Fiction
345,2012,53.0,The Walking Dead: Compendium One,Robert Kirkman,7562.0,4.8,27.49,Paperback,Fiction
346,2012,54.0,The Signal and the Noise: Why So Many Predictions Fail-But Some Don't,Nate Silver,1939.0,4.5,18.46,Hardcover,Non Fiction
347,2012,55.0,How to Tell If Your Cat Is Plotting to Kill You (The Oatmeal) (Volume 2),The Oatmeal,10687.0,4.5,7.07,Paperback,Fiction
348,2012,56.0,A Dance with Dragons (A Song of Ice and Fire),George R. R. Martin,17252.0,4.5,24.31,Hardcover,Fiction
349,2012,57.0,America Again: Re-becoming the Greatness We Never Weren't,Stephen Colbert,604.0,4.3,15.84,Hardcover,Non Fiction
350,2012,58.0,LEGO NINJAGO: Character Encyclopedia,DK Publishing,887.0,4.5,5.52,Hardcover,Fiction
351,2012,59.0,American Sniper: The Autobiography of the Most Lethal Sniper in U.S. Military History,Chris Kyle,19371.0,4.6,18.52,Hardcover,Non Fiction
352,2012,60.0,Outliers: The Story of Success,Malcolm Gladwell,22209.0,4.7,15.71,Paperback,Non Fiction
353,2012,61.0,Teach Like a Champion: 49 Techniques that Put Students on the Path to College,Doug Lemov,860.0,4.5,22.99,Paperback,Non Fiction
354,2012,62.0,Bared to You,Sylvia Day,14707.0,4.4,8.78,Paperback,Fiction
355,2012,63.0,The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book),Don Miguel Ruiz,86676.0,4.7,7.74,Paperback,Non Fiction
356,2012,64.0,"Strengths Based Leadership: Great Leaders, Teams, and Why People Follow",Tom Rath,2349.0,4.5,15.64,Hardcover,Non Fiction
357,2012,65.0,The 17 Day Diet: A Doctor's Plan Designed for Rapid Results,Mike Moreno,3104.0,4.3,16.97,Hardcover,Non Fiction
358,2012,66.0,Crazy Love: Overwhelmed by a Relentless God,Francis Chan,1920.0,4.7,16.48,Paperback,Non Fiction
359,2012,67.0,Go the F**k to Sleep,Adam Mansbach,20243.0,4.8,14.35,Hardcover,Fiction
360,2012,68.0,Bring Up the Bodies,Hilary Mantel,8622.0,4.5,27.99,Hardcover,Fiction
361,2012,69.0,"Great by Choice: Uncertainty, Chaos, and Luck--Why Some Thrive Despite Them All (Good to Great, 5)",Jim Collins,1281.0,4.6,11.55,Hardcover,Non Fiction
362,2012,70.0,Eat to Live: The Amazing Nutrient-Rich Program for Fast and Sustained Weight Loss,Joel Fuhrman MD,9950.0,4.5,21.9,Mass Market Paperback,Non Fiction
363,2012,71.0,"Reflected in You (Crossfire, Book 2)",Sylvia Day,12620.0,4.6,17.0,Paperback,Fiction
364,2012,72.0,Who Moved My Cheese,Spencer Johnson,16756.0,4.6,16.13,Hardcover,Fiction
365,2012,73.0,The Book Thief,Markus Zusak,34536.0,4.7,6.99,Paperback,Fiction
